question,label
What color do these look?,color
What color... what color is this skirt?,color
What color furniture is that?  And is that nice table and chairs?,color
Please describe the pattern and color of this bag.,color
What color is the phone?,color
what color is his shirt,color
What colors are in this sweater?,color
What color is this shirt?,color
What color is this shirt?,color
What color are my shoes?,color
What color is this sweater,color
Can you please tell me what color this shirt is? Thank you.,color
What color are these jeans,color
What color is this cartridge?,color
What color is this shirt?,color
What color is this bag?,color
what color is this?,color
What color are the shoes?,color
"What color, what color is this shirt?",color
What color is the candle? What color what color is the candle? What color is the candle?,color
What color is this?,color
Could you please tell me what color these beads are?,color
What color is my sweater?,color
What color is this car?,color
what color is my top?,color
What color is this hair band?,color
What color are these pants?,color
What color is this magazine?,color
What color is cot?,color
What color is it?,color
Could you please tell me what color that is? Thank you.,color
What color is this sweater?,color
What color are these three ties?,color
What color is this bag?,color
"What color is this? If it's gray, is it dark gray or light gray or medium gray?",color
What color are these pants please? Thank you.,color
What color is this shirt?,color
What color is that?,color
What is the color of these glasses?,color
What color is the shirt?,color
What color is that shoe polish?,color
What kind of pattern and the color the shirt is this?,color
Could you please tell me what color this is?  Thank you.,color
"What is this, and what is it's color, and what shape is it, and where does it belong?",color
What color is this sweater?,color
What does this look like and what color is it,color
Hi could you tell me what color you think these tiles are please? Thank you. ,color
Which one is red color? Is it on my left or my right?,color
What color is it?,color
What color are these pair of pants?,color
What color is my jacket?,color
What color is this fan?,color
What color is this shirt?,color
What color are these pants?,color
What is the color?,color
What color is that please?,color
What color are the clouds and what do they look like in the sky?,color
Is this color blue? If so what shade of blue if you could describe it.,color
What color is my shirt?,color
Which color is this?,color
What color is my shirt?,color
What color is this item?,color
What color is this hat?,color
What is the color of the fat?,color
What color is this?,color
What color is this?,color
What color is this shirt?,color
What color is this?,color
What color is this?,color
What color are the stones and beads in this necklace?,color
What color is this shirt?,color
tell me about this color,color
What color is this bowl?,color
What color is this carpet?,color
What color is the dog?,color
What's the color?,color
What does it say and what color is it?,color
What color is this?,color
What color are these pants?,color
What color is this?,color
What color is the wedding gown on this bed?,color
What color is that?,color
What color is this? ,color
What color is this?,color
What color is this back-pack?,color
What color are these pants?,color
"Hello, could you please tell me what color is this audio cable? Thank you.",color
"What is it, and what is the color? Thank you.",color
what does this say and what color is it?,color
What color are these shorts?,color
What color is this yarn?,color
What color is this dress? Question mark.,color
What color is that?,color
What color is the telephone on my lap?,color
"I can't see anything.  Which color is this pen?  I hope I hear your voice, so I know it.",color
"What color is that, please?",color
What color pants are these?,color
What is the color of this drink?,color
What color is this?,color
What color is this dinosaur?,color
What color is this please?,color
Please describe the colors and picture in this t-shirt.,color
Can you please identify the color of this polish?,color
What color is this?,color
What color is this?,color
What color is this bag?,color
What color is this?,color
What color is this sweater?,color
What color is this?,color
What color are these beads?,color
What color is this sweater?,color
What color?,color
What color is this camisole? ,color
What color is this shirt?,color
Please describe the colors in this pair of socks.,color
What color paint is this?,color
What is the color of this skirt?,color
What is the color of this braclet?,color
What color is this ball of wool?,color
"What, what color is the hard drive?",color
What color is this shirt?,color
What color is this flower?,color
Color is the shirt?,color
what color is this shirt?,color
Color is this?,color
What color are these jeans?,color
What color is this T-shirt?,color
What color are these pants and what design's on them?,color
What color is this?,color
What color is this?,color
What color is my shirt?,color
What color?,color
What color is this shirt?,color
what color is my shirt?,color
What color is my dress?,color
"What color coffee mug do I have, thank you?",color
Can you tell me the color of this shirt?,color
Is this light on the Ipad? What color is this light on the Ipad? ,color
What color is this comforter?,color
What color are these capris?,color
What whats the color?,color
"I asked you what color it was, not what it is. Do you even listen? Come on, people.",color
What color is this hat?,color
What is it and what color is it?,color
What is the color of this bracelet?,color
What are the colors on this garment?,color
What color is this shirt?,color
What color is the shoe? thank you.,color
what color are these socks?,color
What colors is my sock? ,color
What color is this?,color
What color is this?,color
What color are these speakers?,color
What is this thing and what is the color?,color
"Could you please tell me what color that is, thank you.",color
What color is this shirt? ,color
Could you please tell me the color of this?,color
What is this and the color?,color
Color is this bag?,color
What color is this?,color
What color is this shirt?,color
What color is the iPod dock and also can you hear this question?,color
What color is my shirt?,color
What color is this?,color
What color is this?,color
can you tell me what color this is and what patter is on it?,color
What color is my shirt?,color
What color is this trouser?,color
What color is the couch?,color
What color is it?,color
Which color does that t-shirt have which I'm wearing? I think it's purple but I have got two of those so I'm not sure which one this is.,color
What color shirt is this?,color
What colors that sandal?,color
What color is this?,color
what color is this jumper,color
What color is this shirt?,color
What color is this shirt?,color
What color is this flip-flop? ,color
"Can you tell me what color this cloth is, please? Thank you.",color
What is the color and does it have any writing on it?,color
"What color is, what color is this skirt?",color
What color is this bedspread?,color
"Hi, I am trying to improve the lighting conditions to improve the color of this shirt, text me if you can see this shirt, thanks.",color
What color is this,color
Is the color white or off-white?,color
What color is this T-shirt?,color
What color is this please?,color
What color is my dog?,color
What color is this,color
What color is this?,color
What color is this shirt?,color
"Hi, please could you tell me in detail the colors of the bear, and the colors of the disabled person's stickers in the bottom? Thanks.",color
What color is this shirt?,color
